Model,Setting,DynVariants@Rounds1-10,Paraphrased@Rounds1-10,OrigSplit-HighContam,OrigSplit-Random,WebRAG-Base Delta (Dyn),WebRAG-Base Delta (Para)
mistral.mistral-7b-instruct-v0:2,Base,0.171,0.301,0.342,0.318,0.107,0.25
mistral.mistral-7b-instruct-v0:2,Web-RAG,0.278,0.551,0.714,0.602,0.107,0.25
mistral.mistral-large-2402-v1:0,Base,0.317,0.431,0.496,0.434,0.112,0.172
mistral.mistral-large-2402-v1:0,Web-RAG,0.429,0.603,0.772,0.66,0.112,0.172
openai.gpt-oss-120b-1:0,Base,0.396,0.442,0.486,0.438,0.13,0.211
openai.gpt-oss-120b-1:0,Web-RAG,0.526,0.653,0.792,0.68,0.13,0.211
openai.gpt-oss-20b-1:0,Base,0.277,0.339,0.384,0.356,0.217,0.287
openai.gpt-oss-20b-1:0,Web-RAG,0.494,0.626,0.774,0.684,0.217,0.287
us.meta.llama4-maverick-17b-instruct-v1:0,Base,0.362,0.47,0.534,0.5,0.161,0.178
us.meta.llama4-maverick-17b-instruct-v1:0,Web-RAG,0.523,0.648,0.796,0.71,0.161,0.178
us.meta.llama4-scout-17b-instruct-v1:0,Base,0.277,0.388,0.434,0.398,0.208,0.241
us.meta.llama4-scout-17b-instruct-v1:0,Web-RAG,0.485,0.629,0.78,0.688,0.208,0.241
